CommonName,NDF-RT,ICD11Code,Drugs
Atrial fibrillation,"['N0000021928', 'N0000145918', 'N0000146388', 'N0000147701', 'N0000147814', 'N0000147835', 'N0000147924', 'N0000148057', 'N0000148533', 'N0000147996', 'N0000148010']",11,"['BISOPROLOL', 'ASPIRIN', 'DIGOXIN', 'AMIODARONE', 'DILTIAZEM', 'ENALAPRIL', 'METOPROLOL', 'WARFARIN', 'IRBESARTAN', 'PROPAFENONE', 'QUINIDINE']"
Atrial flutter,"['N0000147814', 'N0000147996', 'N0000148010']",11,"['DILTIAZEM', 'PROPAFENONE', 'QUINIDINE']"
Atrial paroxysmal tachycardia,['N0000147996'],11,['PROPAFENONE']
Atrial tachycardia,"['N0000147996', 'N0000148010']",11,"['PROPAFENONE', 'QUINIDINE']"
Atrophic vulva,['N0000146729'],13,"['ESTROGENS,CONJUGATED']"
Atrophy of vagina,['N0000145989'],10,['ESTRADIOL']
Attention deficit hyperactivity disorder,"['N0000021906', 'N0000022300', 'N0000146207', 'N0000147738', 'N0000147800', 'N0000147875', 'N0000147910', 'N0000147920', 'N0000147946', 'N0000148062', 'N0000148602']",6,"['VENLAFAXINE', 'ATOMOXETINE', 'CLONIDINE', 'BUPROPION', 'DESIPRAMINE', 'IMIPRAMINE', 'METHAMPHETAMINE', 'METHYLPHENIDATE', 'NORTRIPTYLINE', 'DEXTROAMPHETAMINE', 'MODAFINIL']"
Atypical depressive disorder,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Atypical mycobacterial infection,"['N0000145890', 'N0000146102', 'N0000146932', 'N0000147503']",1,"['ISONIAZID', 'SULFAMETHOXAZOLE', 'RIFAMPIN', 'CIPROFLOXACIN']"
Atypical mycobacterial infection of lung,"['N0000146932', 'N0000147838']",3,"['RIFAMPIN', 'ETHAMBUTOL']"
Autism spectrum disorder,"['N0000147779', 'N0000148350', 'N0000148786']",6,"['CLOMIPRAMINE', 'RISPERIDONE', 'ARIPIPRAZOLE']"
Autoimmune hemolytic anemia,"['N0000146229', 'N0000146452', 'N0000148560']",3,"['PREDNISONE', 'CYCLOPHOSPHAMIDE', 'RITUXIMAB']"
Autoimmune hepatitis,"['N0000147079', 'N0000148406']",9,"['MERCAPTOPURINE', 'MYCOPHENOLATE MOFETIL']"
Autoimmune thyroiditis,['N0000020132'],9,['LEVOTHYROXINE']
Autonomic dysreflexia,['N0000146717'],8,['NIFEDIPINE']
B-cell lymphoma (clinical),['N0000148560'],2,['RITUXIMAB']
Babesiosis,['N0000146933'],1,['QUININE SULFATE']
Bacteremia associated with intravascular line,"['N0000147503', 'N0000148052', 'N0000146102', 'N0000146103']",8,"['CIPROFLOXACIN', 'VANCOMYCIN', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Bacterial arthritis,"['N0000146102', 'N0000146103']",12,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Bacterial endocarditis,"['N0000147185', 'N0000147503', 'N0000148093']",1,"['CEPHALEXIN', 'CIPROFLOXACIN', 'CLARITHROMYCIN']"
Bacterial endophthalmitis,['N0000148052'],9,['VANCOMYCIN']
Bacterial infection of eye,['N0000146103'],1,['TRIMETHOPRIM']
Bacterial infection of skin,['N0000146109'],14,['DOXYCYCLINE']
Bacterial infectious disease,['N0000007444'],13,['MINOCYCLINE']
Bacterial lower respiratory infection,['N0000148093'],21,['CLARITHROMYCIN']
Bacterial meningitis,"['N0000146194', 'N0000147503', 'N0000148052', 'N0000146102', 'N0000146103']",1,"['METRONIDAZOLE', 'CIPROFLOXACIN', 'VANCOMYCIN', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Bacterial osteomyelitis,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Bacterial upper respiratory infection,['N0000147503'],21,['CIPROFLOXACIN']
Bacterial vaginosis,['N0000146194'],1,['METRONIDAZOLE']
Barrett's esophagus,"['N0000147569', 'N0000148012', 'N0000148407', 'N0000148623', 'N0000148654', 'N0000148700', 'N0000178337']",13,"['OMEPRAZOLE', 'RANITIDINE', 'LANSOPRAZOLE', 'RABEPRAZOLE', 'PANTOPRAZOLE', 'ESOMEPRAZOLE', 'DEXLANSOPRAZOLE']"
Barrett's esophagus with esophagitis,['N0000178337'],13,['DEXLANSOPRAZOLE']
Barrett's ulcer of esophagus,['N0000178337'],13,['DEXLANSOPRAZOLE']
Bartonellosis,"['N0000146109', 'N0000146932', 'N0000148093']",1,"['DOXYCYCLINE', 'RIFAMPIN', 'CLARITHROMYCIN']"
Behcet's syndrome,"['N0000145804', 'N0000148588']",4,"['UNKNOWN DRUG', 'THALIDOMIDE']"
Bell's palsy,"['N0000146229', 'N0000146334']",8,"['PREDNISONE', 'PREDNISOLONE']"
Benign mammary dysplasia,['N0000148024'],20,['TAMOXIFEN']
Benign prostatic hyperplasia,"['N0000022081', 'N0000148829', 'N0000148025', 'N0000148118', 'N0000148790']",16,"['TAMSULOSIN', 'TADALAFIL', 'TERAZOSIN', 'FINASTERIDE', 'DUTASTERIDE']"
Berylliosis,['N0000146229'],12,['PREDNISONE']
Bezoar,['N0000147923'],1,['METOCLOPRAMIDE']
Bile acid malabsorption syndrome,['N0000147784'],19,['COLESTIPOL']
Biliary colic,['N0000147806'],2,['DICLOFENAC']
Binge eating disorder,['N0000148257'],6,['SERTRALINE']
Bipolar I disorder,"['N0000147892', 'N0000148465']",6,"['LITHIUM', 'OLANZAPINE']"
"Bipolar I disorder, most recent episode depressed with atypical features",['N0000148387'],21,['NEFAZODONE']
"Bipolar I disorder, most recent episode depressed with melancholic features",['N0000148387'],21,['NEFAZODONE']
"Bipolar II disorder, most recent episode major depressive",['N0000148387'],6,['NEFAZODONE']
"Bipolar II disorder, most recent episode major depressive with atypical features",['N0000148387'],6,['NEFAZODONE']
"Bipolar II disorder, most recent episode major depressive with catatonic features",['N0000148387'],6,['NEFAZODONE']
"Bipolar II disorder, most recent episode major depressive with melancholic features",['N0000148387'],6,['NEFAZODONE']
"Bipolar affective disorder, current episode depression","['N0000021906', 'N0000147738', 'N0000148387']",19,"['VENLAFAXINE', 'BUPROPION', 'NEFAZODONE']"
"Bipolar affective disorder, current episode manic",['N0000148644'],6,['LEVETIRACETAM']
"Bipolar affective disorder, currently depressed, mild",['N0000148387'],6,['NEFAZODONE']
"Bipolar affective disorder, currently depressed, moderate",['N0000148387'],6,['NEFAZODONE']
Bipolar disorder,"['N0000146152', 'N0000147738', 'N0000148257', 'N0000148465', 'N0000148690', 'N0000022085', 'N0000146214', 'N0000146226', 'N0000146247', 'N0000146289', 'N0000147028', 'N0000147608', 'N0000147892', 'N0000148350', 'N0000148390', 'N0000148786']",6,"['CLONAZEPAM', 'BUPROPION', 'SERTRALINE', 'OLANZAPINE', 'ZIPRASIDONE', 'QUETIAPINE', 'CHLORPROMAZINE', 'CARBAMAZEPINE', 'ALLOPURINOL', 'PERPHENAZINE', 'VALPROIC ACID', 'CLOZAPINE', 'LITHIUM', 'RISPERIDONE', 'LAMOTRIGINE', 'ARIPIPRAZOLE']"
Blastic phase chronic myeloid leukemia,['N0000148056'],2,['VINCRISTINE']
Blastomycosis,['N0000148767'],1,['VORICONAZOLE']
Blood coagulation disorder,['N0000148057'],3,['WARFARIN']
Body dysmorphic disorder,['N0000147852'],6,['FLUOXETINE']
Borderline personality disorder,['N0000148786'],6,['ARIPIPRAZOLE']
Bradyarrhythmia,['N0000147687'],11,['ATROPINE']
Bronchiectasis,"['N0000147931', 'N0000148706', 'N0000148830', 'N0000147099']",12,"['MOMETASONE', 'FORMOTEROL', 'TIOTROPIUM', 'ALBUTEROL']"
Bronchitis,"['N0000147503', 'N0000147880', 'N0000146102', 'N0000146103', 'N0000146409', 'N0000148093']",12,"['CIPROFLOXACIN', 'IPRATROPIUM', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM', 'METHYLPREDNISOLONE', 'CLARITHROMYCIN']"
Bronchopulmonary dysplasia of newborn,"['N0000145995', 'N0000146188']",19,"['HYDROCHLOROTHIAZIDE', 'FUROSEMIDE']"
Bronchospasm,"['N0000147880', 'N0000148026', 'N0000147099', 'N0000021960']",4,"['IPRATROPIUM', 'TERBUTALINE', 'ALBUTEROL', 'SALMETEROL']"
Brucellosis,"['N0000146109', 'N0000146932']",1,"['DOXYCYCLINE', 'RIFAMPIN']"
Brugada syndrome,['N0000148010'],11,['QUINIDINE']
Bulimia nervosa,"['N0000147852', 'N0000147875', 'N0000148257']",6,"['FLUOXETINE', 'IMIPRAMINE', 'SERTRALINE']"
Bullous cutaneous mastocytosis,['N0000147467'],2,['DAPSONE']
Bullous systemic lupus erythematosus,['N0000147467'],4,['DAPSONE']
Burkitt's lymphoma (clinical),"['N0000146452', 'N0000148560']",2,"['CYCLOPHOSPHAMIDE', 'RITUXIMAB']"
Burn,['N0000146586'],X,['MAFENIDE']
Bursitis,"['N0000146229', 'N0000147149']",12,"['PREDNISONE', 'NAPROXEN']"
Calcium renal calculus,['N0000146247'],19,['ALLOPURINOL']
Candida endophthalmitis,['N0000148767'],9,['VORICONAZOLE']
Candidemia,['N0000148767'],X,['VORICONAZOLE']
Candidiasis of the esophagus,['N0000148767'],13,['VORICONAZOLE']
Carcinoma in situ of breast,['N0000148024'],2,['TAMOXIFEN']
Carcinoma in situ of kidney,['N0000180309'],2,['PAZOPANIB']
Carcinoma liver and/or biliary system,"['N0000146476', 'N0000148555', 'N0000148774']",12,"['CISPLATIN', 'CAPECITABINE', 'OXALIPLATIN']"
Carcinoma of breast,"['N0000146229', 'N0000146409']",2,"['PREDNISONE', 'METHYLPREDNISOLONE']"
Carcinoma of cervix,"['N0000021986', 'N0000022032', 'N0000147598', 'N0000147829']",2,"['VINORELBINE', 'IRINOTECAN', 'CARBOPLATIN', 'DOXORUBICIN']"
Carcinoma of esophagus,"['N0000021986', 'N0000022032', 'N0000146476', 'N0000148441', 'N0000148638']",2,"['VINORELBINE', 'IRINOTECAN', 'CISPLATIN', 'DOCETAXEL', 'EPIRUBICIN']"
Carcinoma of gallbladder,"['N0000022036', 'N0000147887']",13,"['GEMCITABINE', 'LEUCOVORIN']"
Carcinoma of pancreas,"['N0000022036', 'N0000146166', 'N0000148872']",13,"['GEMCITABINE', 'FLUOROURACIL', 'ERLOTINIB']"
Carcinoma of penis,['N0000146166'],2,['FLUOROURACIL']
Carcinoma of prostate,"['N0000145989', 'N0000146229', 'N0000146273', 'N0000146729', 'N0000148055']",2,"['ESTRADIOL', 'PREDNISONE', 'DEXAMETHASONE', 'ESTROGENS,CONJUGATED', 'VINBLASTINE']"
Carcinoma of stomach,"['N0000146473', 'N0000147829']",2,"['CARMUSTINE', 'DOXORUBICIN']"
Carcinoma of thyroid,['N0000180309'],2,['PAZOPANIB']
Carcinoma of urinary bladder,"['N0000146261', 'N0000147829', 'N0000148055', 'N0000148441', 'N0000148638']",2,"['THIOTEPA', 'DOXORUBICIN', 'VINBLASTINE', 'DOCETAXEL', 'EPIRUBICIN']"
Cardiac arrhythmia,"['N0000147886', 'N0000147924', 'N0000148505']",11,"['LABETALOL', 'METOPROLOL', 'CARVEDILOL']"
Cardiac syndrome X,"['N0000146183', 'N0000147662']",4,"['ISOSORBIDE DINITRATE', 'RAMIPRIL']"
Cardiac transplant rejection,"['N0000146229', 'N0000147064', 'N0000148406', 'N0000148372', 'N0000148832']",11,"['PREDNISONE', 'CYCLOSPORINE', 'MYCOPHENOLATE MOFETIL', 'TACROLIMUS', 'MYCOPHENOLIC ACID']"
Cardiomyopathy,"['N0000145994', 'N0000146155', 'N0000146188', 'N0000146234', 'N0000146388', 'N0000147537', 'N0000147662', 'N0000147835', 'N0000147869', 'N0000147924', 'N0000148336', 'N0000148359', 'N0000148505', 'N0000148627']",1,"['CAPTOPRIL', 'BUMETANIDE', 'FUROSEMIDE', 'SPIRONOLACTONE', 'DIGOXIN', 'LISINOPRIL', 'RAMIPRIL', 'ENALAPRIL', 'HYDRALAZINE', 'METOPROLOL', 'BENAZEPRIL', 'TORSEMIDE', 'CARVEDILOL', 'PERINDOPRIL']"
Cardiomyopathy in Duchenne muscular dystrophy,['N0000148627'],11,['PERINDOPRIL']
Carotid artery stenosis,['N0000145918'],11,['ASPIRIN']
Carotid endarterectomy,['N0000145918'],22,['ASPIRIN']
Carpal tunnel syndrome,"['N0000146229', 'N0000146334']",4,"['PREDNISONE', 'PREDNISOLONE']"
