NDF-RT,SNOMED,CommonName,Score,ICD11Code,SpecificMatch,BroadName
N0000006613,65958008,Hiccoughs,71.42857143,21,"Symptoms, signs or clinical findings, not elsewhere classified",Cough
N0000006613,76902006,Tetanus,100,1,Certain infectious or parasitic diseases,Tetanus
N0000006613,128188000,Cerebral palsy,100,8,Diseases of the nervous system,Cerebral palsy
N0000006613,221360009,Spasticity,54.54545455,13,Diseases of the digestive system,Hepatic cyst
N0000006613,274665008,Chronic intractable pain,65,8,Diseases of the nervous system,Chronic migraine
N0000006730,44054006,Type 2 diabetes mellitus,100,5,"Endocrine, nutritional or metabolic diseases",Diabetes mellitus
N0000006993,3238004,Pericarditis,100,11,Diseases of the circulatory system,Other pericarditis as current complication following acute myocardial infarction
N0000006993,9631008,Ankylosing spondylitis,57.77777778,4,Diseases of the immune system,Single organ vasculitis
N0000006993,22253000,Pain,100,8,Diseases of the nervous system,Pain disorders
N0000006993,25064002,Headache,100,8,Diseases of the nervous system,Headache disorders
N0000006993,37796009,Migraine,100,8,Diseases of the nervous system,Migraine
N0000006993,65754002,Primary dysmenorrhea,73.68421053,1,Certain infectious or parasitic diseases,Primary yaws
N0000006993,69896004,Rheumatoid arthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Rheumatoid arthritis
N0000006993,83330001,Patent ductus arteriosus,64.40677966,19,Certain conditions originating in the perinatal period,Patent arterial duct of prematurity
N0000006993,90560007,Gout,46.15384615,13,Diseases of the digestive system,Glossitis
N0000006993,128139000,Inflammatory disorder,79.24528302,16,Diseases of the genitourinary system,Inflammatory disorders of breast
N0000006993,190905008,Cystic fibrosis,100,12,Diseases of the respiratory system,Cystic fibrosis
N0000006993,386661006,Fever,100,1,Certain infectious or parasitic diseases,Typhoid fever
N0000006993,396275006,Osteoarthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Osteoarthritis
N0000007444,15628003,Gonorrhea,58.82352941,14,Diseases of the skin,Morphoea
N0000007444,23511006,Meningococcal infectious disease,100,1,Certain infectious or parasitic diseases,Meningococcal disease
N0000007444,29227009,Nocardiosis,100,1,Certain infectious or parasitic diseases,Nocardiosis
N0000007444,37246009,Disease caused by rickettsiae,70,1,Certain infectious or parasitic diseases,Ebola disease
N0000007444,41565005,Periodontitis,100,13,Diseases of the digestive system,Periapical periodontitis
N0000007444,51105006,Nongonococcal urethritis caused by Ureaplasma urealyticum,50,1,Certain infectious or parasitic diseases,Gonococcal pelviperitonitis
N0000007444,68566005,Urinary tract infectious disease,85.71428571,13,Diseases of the digestive system,Infectious liver disease
N0000007444,69896004,Rheumatoid arthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Rheumatoid arthritis
N0000007444,76272004,Syphilis,100,1,Certain infectious or parasitic diseases,Syphilis
N0000007444,81004002,Leprosy,100,1,Certain infectious or parasitic diseases,Leprosy
N0000007444,84619001,Nongonococcal urethritis,66.66666667,1,Certain infectious or parasitic diseases,Gonococcal pelviperitonitis
N0000007444,87628006,Bacterial infectious disease,85.71428571,13,Diseases of the digestive system,Infectious liver disease
N0000007444,88616000,Acne vulgaris,62.06896552,12,Diseases of the respiratory system,Acute laryngitis
N0000007444,95880003,Soft tissue infection,75,3,Diseases of the blood or blood-forming organs,Infection of spleen
N0000007444,213121005,Prosthetic joint infection,65.51724138,14,Diseases of the skin,Pox virus infections of the skin
N0000007444,240589008,Chlamydia trachomatis infection,71.64179104,1,Certain infectious or parasitic diseases,Infections due to Chlamydia psittaci
N0000007444,266096002,Methicillin resistant Staphylococcus aureus infection,64.64646465,1,Certain infectious or parasitic diseases,Staphylococcus aureus superficial folliculitis
N0000007444,266109000,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000007444,275498002,Respiratory tract infection,77.27272727,4,Diseases of the immune system,Allergic or hypersensitivity disorders involving the respiratory tract
N0000007444,373438001,Infection caused by Mycobacterium marinum,71.875,1,Certain infectious or parasitic diseases,Pulmonary infection due to non-tuberculous mycobacterium
N0000007444,409498004,Anthrax,100,1,Certain infectious or parasitic diseases,Anthrax
N0000021928,17338001,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000021928,37796009,Migraine,100,8,Diseases of the nervous system,Migraine
N0000021928,38341003,Hypertensive disorder,80.95238095,11,Diseases of the circulatory system,Hypertensive diseases
N0000021928,42343007,Congestive heart failure,100,11,Diseases of the circulatory system,Heart failure
N0000021928,49436004,Atrial fibrillation,77.41935484,11,Diseases of the circulatory system,Idiopathic ventricular fibrillation
N0000021928,72654001,Supraventricular arrhythmia,81.48148148,11,Diseases of the circulatory system,Ventricular tachyarrhythmia
N0000021928,194828000,Angina pectoris,66.66666667,21,"Symptoms, signs or clinical findings, not elsewhere classified",Precordial pain
N0000021928,233816003,Postoperative cardiac complication,100,X,Extension Codes,Postoperative
N0000020132,21263006,Myxedema coma,100,21,"Symptoms, signs or clinical findings, not elsewhere classified",Coma
N0000020410,5291005,Hypocalcemia,70,9,Diseases of the visual system,Hyphaema
N0000020410,16726004,Renal osteodystrophy,61.11111111,8,Diseases of the nervous system,Leukodystrophies
N0000020410,47774001,Anticonvulsant drug-induced osteomalacia,70.58823529,18,"Pregnancy, childbirth or the puerperium",Puerperal osteomalacia
N0000020410,102447009,Postmenopausal osteoporosis,67.85714286,15,Diseases of the musculoskeletal system or connective tissue,Postoophorectomy osteoporosis
N0000020410,268846006,Neonatal hypocalcemia,100,X,Extension Codes,Neonatal
N0000147507,31712002,Primary biliary cholangitis,100,13,Diseases of the digestive system,Cholangitis
N0000147507,44018007,Cholestatic jaundice syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000147507,111331000,Congenital dilatation of lobar intrahepatic bile duct,100,X,Extension Codes,Congenital
N0000147507,235548005,Chemodissolution of bile duct stone,77.41935484,22,"Injury, poisoning or certain other consequences of external causes",Injury of bile duct
N0000147507,235919008,Gallstone,60,X,Extension Codes,Algal toxin
N0000147507,371090009,Cholestasis of parenteral nutrition,72.72727273,19,Certain conditions originating in the perinatal period,Neonatal hyperbilirubinaemia due to total parenteral nutrition
N0000021906,21897009,Generalized anxiety disorder,96.42857143,6,"Mental, behavioural or neurodevelopmental disorders",Generalised anxiety disorder
N0000021906,25501002,Social phobia,71.42857143,6,"Mental, behavioural or neurodevelopmental disorders",Specific phobia
N0000021906,35489007,Depressive disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Single episode depressive disorder
N0000021906,37796009,Migraine,100,8,Diseases of the nervous system,Migraine
N0000021906,47505003,Posttraumatic stress disorder,98.30508475,6,"Mental, behavioural or neurodevelopmental disorders",Post traumatic stress disorder
N0000021906,78667006,Dysthymia,66.66666667,12,Diseases of the respiratory system,Asthma
N0000021906,191627008,"Bipolar affective disorder, current episode depression",76.92307692,19,Certain conditions originating in the perinatal period,Birth depression
N0000021906,191736004,Obsessive-compulsive disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Obsessive-compulsive disorder
N0000021906,198436008,Menopausal flushing,82.05128205,16,Diseases of the genitourinary system,Menopausal hot flush
N0000021906,224962007,Hot sweats,58.33333333,4,Diseases of the immune system,Behçet disease
N0000021906,247398009,Neuropathic pain,81.48148148,14,Diseases of the skin,Neuropathic skin damage
N0000021906,248122005,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000021906,266607004,Perimenopausal disorder,75.67567568,16,Diseases of the genitourinary system,Menopausal or perimenopausal disorders
N0000021906,268621008,Recurrent major depressive episodes,84.375,6,"Mental, behavioural or neurodevelopmental disorders",Recurrent depressive disorder
N0000021906,370143000,Major depressive disorder,86.36363636,6,"Mental, behavioural or neurodevelopmental disorders",Single episode depressive disorder
N0000021906,371631005,Panic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000021906,398057008,Tension-type headache,100,8,Diseases of the nervous system,Tension-type headache
N0000021906,406506008,Attention deficit hyperactivity disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Attention deficit hyperactivity disorder
N0000021914,48447003,Chronic heart failure,100,11,Diseases of the circulatory system,Heart failure
N0000021914,52254009,Nephrotic syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000021914,53741008,Coronary arteriosclerosis,93.87755102,11,Diseases of the circulatory system,Coronary atherosclerosis
N0000021914,64915003,Operation on heart,66.66666667,18,"Pregnancy, childbirth or the puerperium",Destructive operation for delivery
N0000021914,72092001,Arteriosclerotic vascular disease,70,1,Certain infectious or parasitic diseases,Ebola disease
N0000021914,232717009,Coronary artery bypass graft,76.92307692,11,Diseases of the circulatory system,Coronary artery aneurysm
N0000021914,238082007,Secondary hypercholesterolemia,78.26086957,1,Certain infectious or parasitic diseases,Secondary yaws
N0000021914,267434003,Mixed hyperlipidemia,58.33333333,19,Certain conditions originating in the perinatal period,Neonatal hyperbilirubinaemia
N0000021914,394659003,Acute coronary syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000021914,415070008,Percutaneous coronary intervention,80,23,External causes of morbidity or mortality,Legal intervention
N0000021981,25501002,Social phobia,71.42857143,6,"Mental, behavioural or neurodevelopmental disorders",Specific phobia
N0000021981,47505003,Posttraumatic stress disorder,98.30508475,6,"Mental, behavioural or neurodevelopmental disorders",Post traumatic stress disorder
N0000021981,191736004,Obsessive-compulsive disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Obsessive-compulsive disorder
N0000021981,370143000,Major depressive disorder,86.36363636,6,"Mental, behavioural or neurodevelopmental disorders",Single episode depressive disorder
N0000021981,371631005,Panic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000021984,11687002,Gestational diabetes mellitus,100,5,"Endocrine, nutritional or metabolic diseases",Diabetes mellitus
N0000021984,44054006,Type 2 diabetes mellitus,100,5,"Endocrine, nutritional or metabolic diseases",Diabetes mellitus
N0000021984,69878008,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000021984,81891001,Hypersecretion of ovarian androgens,59.25925926,5,"Endocrine, nutritional or metabolic diseases",Ovarian dysfunction
N0000021984,111036000,Hyperinsulinar obesity,59.09090909,11,Diseases of the circulatory system,Pulmonary hypertension
N0000021986,109385007,Kaposi's sarcoma (clinical),56,2,Neoplasms,Langerhans cell sarcoma
N0000021986,118599009,Hodgkin's disease (clinical),70,1,Certain infectious or parasitic diseases,Ebola disease
N0000021986,118601006,Non-Hodgkin's lymphoma (clinical),77.96610169,2,Neoplasms,Classical Hodgkin lymphoma
N0000021986,254632001,Small cell carcinoma of lung,75.55555556,2,Neoplasms,Carcinoma in situ of bronchus or lung
N0000021986,254637007,Non-small cell lung cancer,58.18181818,X,Extension Codes,"Acinar cell neoplasms, benign"
N0000021986,254645002,Malignant mesothelioma of pleura,78.125,X,Extension Codes,"Mesothelial neoplasms, malignant"
N0000021986,255056009,Malignant tumor of head and neck,100,X,Extension Codes,Head and neck
N0000021986,255072001,Malignant tumor of salivary gland,80.95238095,13,Diseases of the digestive system,Abscess of salivary gland
N0000021986,285432005,Carcinoma of cervix,100,2,Neoplasms,Carcinoma in situ of cervix uteri
N0000021986,363443007,Malignant tumor of ovary,73.17073171,X,Extension Codes,Malignant tumours
N0000021986,372138000,Carcinoma of esophagus,83.01886792,2,Neoplasms,Carcinoma in situ of oesophagus
N0000021986,424952003,Sarcoma of soft tissue,77.77777778,2,Neoplasms,Neoplasms of uncertain behaviour of connective or other soft tissue
N0000021990,27355003,Toothache,50,X,Extension Codes,Other Pathogens
N0000021990,50415004,Moderate pain,76.19047619,X,Extension Codes,Mild Moderate Severe Scale Value for skin diseases
N0000021990,82423001,Chronic pain,78.57142857,8,Diseases of the nervous system,Chronic migraine
N0000022010,24079001,Atopic dermatitis,74.07407407,14,Diseases of the skin,Dermatitis or eczema
N0000022010,195967001,Asthma,100,12,Diseases of the respiratory system,Asthma
N0000022010,367498001,Seasonal allergic rhinitis,79.06976744,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022010,446096008,Perennial allergic rhinitis,77.27272727,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022032,91857003,Acute lymphoid leukemia,65,2,Neoplasms,Myeloid leukaemia
N0000022032,91861009,"Acute myeloid leukemia, disease",71.18644068,3,Diseases of the blood or blood-forming organs,Anaemia due to acute disease
N0000022032,118601006,Non-Hodgkin's lymphoma (clinical),77.96610169,2,Neoplasms,Classical Hodgkin lymphoma
N0000022032,254632001,Small cell carcinoma of lung,75.55555556,2,Neoplasms,Carcinoma in situ of bronchus or lung
N0000022032,254637007,Non-small cell lung cancer,58.18181818,X,Extension Codes,"Acinar cell neoplasms, benign"
N0000022032,285432005,Carcinoma of cervix,100,2,Neoplasms,Carcinoma in situ of cervix uteri
N0000022032,307608006,Ewing's sarcoma of bone,59.25925926,20,Developmental anomalies,Congenital bowing of long bones
N0000022032,363349007,Malignant tumor of stomach,71.42857143,X,Extension Codes,"Odontogenic tumours, malignant"
N0000022032,363418001,Malignant tumor of pancreas,81.48148148,13,Diseases of the digestive system,Cyst of pancreas
N0000022032,363443007,Malignant tumor of ovary,73.17073171,X,Extension Codes,Malignant tumours
N0000022032,363510005,Malignant tumor of large intestine,85.71428571,13,Diseases of the digestive system,Polyp of large intestine
N0000022032,372138000,Carcinoma of esophagus,83.01886792,2,Neoplasms,Carcinoma in situ of oesophagus
N0000022032,393563007,Glioblastoma multiforme,68.96551724,14,Diseases of the skin,Erythema multiforme
N0000022036,109385007,Kaposi's sarcoma (clinical),56,2,Neoplasms,Langerhans cell sarcoma
N0000022036,118599009,Hodgkin's disease (clinical),70,1,Certain infectious or parasitic diseases,Ebola disease
N0000022036,118601006,Non-Hodgkin's lymphoma (clinical),77.96610169,2,Neoplasms,Classical Hodgkin lymphoma
N0000022036,254632001,Small cell carcinoma of lung,75.55555556,2,Neoplasms,Carcinoma in situ of bronchus or lung
N0000022036,254637007,Non-small cell lung cancer,58.18181818,X,Extension Codes,"Acinar cell neoplasms, benign"
N0000022036,254645002,Malignant mesothelioma of pleura,78.125,X,Extension Codes,"Mesothelial neoplasms, malignant"
N0000022036,254837009,Malignant tumor of breast,86.36363636,2,Neoplasms,Malignant neoplasms of breast
N0000022036,254877001,Sarcoma of uterus,69.23076923,2,Neoplasms,Benign non-mesenchymal neoplasms of uterus
N0000022036,255056009,Malignant tumor of head and neck,100,X,Extension Codes,Head and neck
N0000022036,255109008,Transitional cell carcinoma of urinary bladder,83.33333333,2,Neoplasms,Carcinoma in situ of bladder
N0000022036,307226002,Metastatic adenocarcinoma of unknown origin,66.66666667,2,Neoplasms,Adenocarcinoma of unspecified site
N0000022036,307576001,Osteosarcoma of bone,60,13,Diseases of the digestive system,Obstruction of small intestine
N0000022036,307608006,Ewing's sarcoma of bone,59.25925926,20,Developmental anomalies,Congenital bowing of long bones
N0000022036,363354003,Malignant tumor of cervix,71.69811321,X,Extension Codes,"Mast cell tumours, malignant"
N0000022036,363415003,Malignant tumor of biliary tract,72,2,Neoplasms,Malignant neoplasms of urinary tract
N0000022036,363443007,Malignant tumor of ovary,73.17073171,X,Extension Codes,Malignant tumours
N0000022036,363449006,Malignant tumor of testis,72.72727273,X,Extension Codes,"Odontogenic tumours, malignant"
N0000022036,371973000,Malignant neoplasm of uterus,83.63636364,2,Neoplasms,Malignant neoplasms of skin
N0000022036,372140005,Carcinoma of gallbladder,82.35294118,13,Diseases of the digestive system,Polyp of gallbladder
N0000022036,372142002,Carcinoma of pancreas,81.48148148,13,Diseases of the digestive system,Cyst of pancreas
N0000022036,399326009,Malignant neoplasm of urinary bladder,79.45205479,2,Neoplasms,Malignant neoplasms of urinary tract
N0000022036,402878003,Germ cell tumor,75,X,Extension Codes,Germ cell neoplasms
N0000022036,424952003,Sarcoma of soft tissue,77.77777778,2,Neoplasms,Neoplasms of uncertain behaviour of connective or other soft tissue
N0000022036,443487006,Mantle cell lymphoma,68.42105263,14,Diseases of the skin,Cutaneous lymphoma
N0000022046,4855003,Retinopathy due to diabetes mellitus,100,5,"Endocrine, nutritional or metabolic diseases",Diabetes mellitus
N0000022046,13644009,Hypercholesterolemia,64.51612903,22,"Injury, poisoning or certain other consequences of external causes",Hypothermia
N0000022046,26367008,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000022046,39823006,Generalized atherosclerosis,76.92307692,11,Diseases of the circulatory system,Coronary atherosclerosis
N0000022046,44054006,Type 2 diabetes mellitus,100,5,"Endocrine, nutritional or metabolic diseases",Diabetes mellitus
N0000022046,48447003,Chronic heart failure,100,11,Diseases of the circulatory system,Heart failure
N0000022046,49601007,Disorder of cardiovascular system,77.77777778,X,Extension Codes,Agents primarily affecting the cardiovascular system
N0000022046,266257000,Transient cerebral ischemia,81.48148148,19,Certain conditions originating in the perinatal period,Neonatal cerebral ischaemia
N0000022046,302870006,Hypertriglyceridemia,58.06451613,22,"Injury, poisoning or certain other consequences of external causes",Hypothermia
N0000022046,370992007,Dyslipidemia,60.86956522,16,Diseases of the genitourinary system,Dyspareunia
N0000022046,371893007,Restenotic lesion of coronary artery,80,11,Diseases of the circulatory system,Diseases of coronary artery
N0000022046,426161002,Chemically induced hyperlipidemia,50.98039216,X,Extension Codes,Explosive chemical
N0000022046,443502000,Coronary atherosclerosis,100,11,Diseases of the circulatory system,Coronary atherosclerosis
N0000022047,8229003,Vasomotor rhinitis,100,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022047,367498001,Seasonal allergic rhinitis,79.06976744,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022047,446096008,Perennial allergic rhinitis,77.27272727,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022047,473460002,Allergic conjunctivitis,100,9,Diseases of the visual system,Conjunctivitis
N0000022057,367498001,Seasonal allergic rhinitis,79.06976744,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022081,31054009,Ureteric stone,55.55555556,6,"Mental, behavioural or neurodevelopmental disorders",Frotteuristic disorder
N0000022081,31822004,Urethritis,66.66666667,9,Diseases of the visual system,Neuroretinitis
N0000022081,266569009,Benign prostatic hyperplasia,78.43137255,16,Diseases of the genitourinary system,Hyperplasia of prostate
N0000022081,307541003,Lower urinary tract symptoms,83.33333333,21,"Symptoms, signs or clinical findings, not elsewhere classified",Symptoms related to the lower gastrointestinal tract or abdomen
N0000022081,398064005,Neurogenic urinary bladder,73.68421053,21,"Symptoms, signs or clinical findings, not elsewhere classified",Bladder pain
N0000022081,416991005,Obstruction of urinary bladder outlet,73.68421053,21,"Symptoms, signs or clinical findings, not elsewhere classified",Bladder pain
N0000022085,2776000,Delirium,100,6,"Mental, behavioural or neurodevelopmental disorders",Delirium
N0000022085,58214004,Schizophrenia,100,6,"Mental, behavioural or neurodevelopmental disorders",Schizophrenia or other primary psychotic disorders
N0000022085,191736004,Obsessive-compulsive disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Obsessive-compulsive disorder
N0000022085,370143000,Major depressive disorder,86.36363636,6,"Mental, behavioural or neurodevelopmental disorders",Single episode depressive disorder
N0000022101,8990000,Percutaneous transluminal angioplasty of peripheral artery,69.23076923,11,Diseases of the circulatory system,Rupture of artery
N0000022101,65198009,Arterial thrombosis,75,11,Diseases of the circulatory system,Renal vein thrombosis
N0000022101,394659003,Acute coronary syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000022101,400047006,Peripheral vascular disease,82.60869565,20,Developmental anomalies,Structural developmental anomalies of the peripheral vascular system
N0000022101,401303003,Acute ST segment elevation myocardial infarction,100,11,Diseases of the circulatory system,Acute myocardial infarction
N0000022101,401314000,Acute non-ST segment elevation myocardial infarction,100,11,Diseases of the circulatory system,Acute myocardial infarction
N0000022101,414024009,Disorder of coronary artery,85.18518519,11,Diseases of the circulatory system,Diseases of coronary artery
N0000022101,429673002,Arteriosclerosis of coronary artery bypass graft,80,11,Diseases of the circulatory system,Diseases of coronary artery
N0000022101,9611000119107,Symptomatic carotid artery stenosis,73.68421053,22,"Injury, poisoning or certain other consequences of external causes",Injury of carotid artery
N0000022115,11399002,Pulmonary arterial hypertension,100,11,Diseases of the circulatory system,Pulmonary hypertension
N0000022115,46372006,Female sexual arousal disorder,100,X,Extension Codes,Female
N0000022115,70995007,Pulmonary hypertension,100,11,Diseases of the circulatory system,Pulmonary hypertension
N0000022115,233815004,Persistent pulmonary hypertension of the newborn,100,11,Diseases of the circulatory system,Pulmonary hypertension
N0000022115,397803000,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000022115,425528008,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000022122,24079001,Atopic dermatitis,74.07407407,14,Diseases of the skin,Dermatitis or eczema
N0000022122,31387002,Exercise-induced asthma,100,12,Diseases of the respiratory system,Asthma
N0000022122,78275009,Obstructive sleep apnea syndrome,82.92682927,7,Sleep-wake disorders,Obstructive sleep apnoea
N0000022122,126485001,Urticaria,100,14,Diseases of the skin,Cholinergic urticaria or related conditions
N0000022122,195967001,Asthma,100,12,Diseases of the respiratory system,Asthma
N0000022122,367498001,Seasonal allergic rhinitis,79.06976744,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022122,407674008,Aspirin-induced asthma,100,12,Diseases of the respiratory system,Asthma
N0000022122,446096008,Perennial allergic rhinitis,77.27272727,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000022136,20165001,Hyperphosphatemia,64.28571429,22,"Injury, poisoning or certain other consequences of external causes",Hypothermia
N0000022289,596004,Premenstrual dysphoric disorder,72.72727273,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000022289,17155009,Trichotillomania,66.66666667,1,Certain infectious or parasitic diseases,Trichomoniasis
N0000022289,21897009,Generalized anxiety disorder,96.42857143,6,"Mental, behavioural or neurodevelopmental disorders",Generalised anxiety disorder
N0000022289,170951000,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000022289,191736004,Obsessive-compulsive disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Obsessive-compulsive disorder
N0000022289,370143000,Major depressive disorder,86.36363636,6,"Mental, behavioural or neurodevelopmental disorders",Single episode depressive disorder
N0000022289,371631005,Panic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000022300,8009008,Nocturnal enuresis,100,6,"Mental, behavioural or neurodevelopmental disorders",Enuresis
N0000022300,406506008,Attention deficit hyperactivity disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Attention deficit hyperactivity disorder
N0000023107,2177002,Postherpetic neuralgia,60.46511628,18,"Pregnancy, childbirth or the puerperium",Other uterine inertia
N0000023107,29753000,Focal onset epileptic seizure,76.47058824,8,Diseases of the nervous system,Focal unaware seizure
N0000023107,95417003,Primary fibromyalgia syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000023107,247398009,Neuropathic pain,81.48148148,14,Diseases of the skin,Neuropathic skin damage
N0000023107,424736006,Diabetic peripheral neuropathy,64.51612903,8,Diseases of the nervous system,Hereditary neuropathy
N0000145804,12579009,Familial Mediterranean fever,100,4,Diseases of the immune system,Familial Mediterranean fever
N0000145804,14760008,Constipation,100,6,"Mental, behavioural or neurodevelopmental disorders",Encopresis with constipation or overflow incontinence
N0000145804,17602002,Amyloidosis,100,5,"Endocrine, nutritional or metabolic diseases",Amyloidosis
N0000145804,60782007,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000145804,310701003,Behcet's syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000145804,426965005,Aphthous ulcer of mouth,60,13,Diseases of the digestive system,Anastomotic ulcer
N0000145810,54200006,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000145810,72641008,Sedation,66.66666667,21,"Symptoms, signs or clinical findings, not elsewhere classified",Perseveration
N0000145810,230456007,Status epilepticus,100,8,Diseases of the nervous system,Status epilepticus
N0000145810,361150008,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000145890,11999007,Inactive tuberculosis,100,1,Certain infectious or parasitic diseases,Tuberculosis
N0000145890,111812000,Atypical mycobacterial infection,83.63636364,1,Certain infectious or parasitic diseases,Cutaneous non-tuberculous mycobacterial infection
