NDF-RT,SNOMED,CommonName,ICD11-Category
N0000007444,87628006,Bacterial infectious disease,
N0000007444,88616000,Acne vulgaris,
N0000007444,95880003,Soft tissue infection,
N0000007444,213121005,Prosthetic joint infection,
N0000007444,240589008,Chlamydia trachomatis infection,
N0000007444,266096002,Methicillin resistant Staphylococcus aureus infection,
N0000007444,266109000,INCOMPLETE,
N0000007444,275498002,Respiratory tract infection,
N0000007444,373438001,Infection caused by Mycobacterium marinum,
N0000007444,409498004,Anthrax,
N0000021928,17338001,INCOMPLETE,
N0000021928,37796009,Migraine,
N0000021928,38341003,Hypertensive disorder,
N0000021928,42343007,Congestive heart failure,
N0000021928,49436004,Atrial fibrillation,
N0000021928,72654001,Supraventricular arrhythmia,
N0000021928,194828000,Angina pectoris,
N0000021928,233816003,Postoperative cardiac complication,
N0000020132,21263006,Myxedema coma,
N0000020410,5291005,Hypocalcemia,
N0000020410,16726004,Renal osteodystrophy,
N0000020410,47774001,Anticonvulsant drug-induced osteomalacia,
N0000020410,102447009,Postmenopausal osteoporosis,
N0000020410,268846006,Neonatal hypocalcemia,
N0000147507,31712002,Primary biliary cholangitis,
N0000147507,44018007,Cholestatic jaundice syndrome,
N0000147507,111331000,Congenital dilatation of lobar intrahepatic bile duct,
N0000147507,235548005,Chemodissolution of bile duct stone,
N0000147507,235919008,Gallstone,
N0000147507,371090009,Cholestasis of parenteral nutrition,
N0000021906,21897009,Generalized anxiety disorder,
N0000021906,25501002,Social phobia,
N0000021906,35489007,Depressive disorder,
N0000021906,37796009,Migraine,
N0000021906,47505003,Posttraumatic stress disorder,
N0000021906,78667006,Dysthymia,
N0000021906,191627008,"Bipolar affective disorder, current episode depression",
N0000021906,191736004,Obsessive-compulsive disorder,
N0000021906,198436008,Menopausal flushing,
N0000021906,224962007,Hot sweats,
N0000021906,247398009,Neuropathic pain,
N0000021906,248122005,INCOMPLETE,
N0000021906,266607004,Perimenopausal disorder,
N0000021906,268621008,Recurrent major depressive episodes,
N0000021906,370143000,Major depressive disorder,
N0000021906,371631005,Panic disorder,
N0000021906,398057008,Tension-type headache,
N0000021906,406506008,Attention deficit hyperactivity disorder,
N0000021914,48447003,Chronic heart failure,
N0000021914,52254009,Nephrotic syndrome,
N0000021914,53741008,Coronary arteriosclerosis,
N0000021914,64915003,Operation on heart,
N0000021914,72092001,Arteriosclerotic vascular disease,
N0000021914,232717009,Coronary artery bypass graft,
N0000021914,238082007,Secondary hypercholesterolemia,
N0000021914,267434003,Mixed hyperlipidemia,
N0000021914,394659003,Acute coronary syndrome,
N0000021914,415070008,Percutaneous coronary intervention,
N0000021981,25501002,Social phobia,
N0000021981,47505003,Posttraumatic stress disorder,
N0000021981,191736004,Obsessive-compulsive disorder,
N0000021981,370143000,Major depressive disorder,
N0000021981,371631005,Panic disorder,
N0000021984,11687002,Gestational diabetes mellitus,
N0000021984,44054006,Type 2 diabetes mellitus,
N0000021984,69878008,INCOMPLETE,
N0000021984,81891001,Hypersecretion of ovarian androgens,
N0000021984,111036000,Hyperinsulinar obesity,
N0000021986,109385007,Kaposi's sarcoma (clinical),
N0000021986,118599009,Hodgkin's disease (clinical),
N0000021986,118601006,Non-Hodgkin's lymphoma (clinical),
N0000021986,254632001,Small cell carcinoma of lung,
N0000021986,254637007,Non-small cell lung cancer,
N0000021986,254645002,Malignant mesothelioma of pleura,
N0000021986,255056009,Malignant tumor of head and neck,
N0000021986,255072001,Malignant tumor of salivary gland,
N0000021986,285432005,Carcinoma of cervix,
N0000021986,363443007,Malignant tumor of ovary,
N0000021986,372138000,Carcinoma of esophagus,
N0000021986,424952003,Sarcoma of soft tissue,
N0000021990,27355003,Toothache,
N0000021990,50415004,Moderate pain,
N0000021990,82423001,Chronic pain,
N0000022010,24079001,Atopic dermatitis,
N0000022010,195967001,Asthma,
N0000022010,367498001,Seasonal allergic rhinitis,
N0000022010,446096008,Perennial allergic rhinitis,
N0000022032,91857003,Acute lymphoid leukemia,
N0000022032,91861009,"Acute myeloid leukemia, disease",
N0000022032,118601006,Non-Hodgkin's lymphoma (clinical),
N0000022032,254632001,Small cell carcinoma of lung,
N0000022032,254637007,Non-small cell lung cancer,
N0000022032,285432005,Carcinoma of cervix,
N0000022032,307608006,Ewing's sarcoma of bone,
N0000022032,363349007,Malignant tumor of stomach,
N0000022032,363418001,Malignant tumor of pancreas,
N0000022032,363443007,Malignant tumor of ovary,
N0000022032,363510005,Malignant tumor of large intestine,
N0000022032,372138000,Carcinoma of esophagus,
N0000022032,393563007,Glioblastoma multiforme,
N0000022036,109385007,Kaposi's sarcoma (clinical),
N0000022036,118599009,Hodgkin's disease (clinical),
N0000022036,118601006,Non-Hodgkin's lymphoma (clinical),
N0000022036,254632001,Small cell carcinoma of lung,
N0000022036,254637007,Non-small cell lung cancer,
N0000022036,254645002,Malignant mesothelioma of pleura,
N0000022036,254837009,Malignant tumor of breast,
N0000022036,254877001,Sarcoma of uterus,
N0000022036,255056009,Malignant tumor of head and neck,
N0000022036,255109008,Transitional cell carcinoma of urinary bladder,
N0000022036,307226002,Metastatic adenocarcinoma of unknown origin,
N0000022036,307576001,Osteosarcoma of bone,
N0000022036,307608006,Ewing's sarcoma of bone,
N0000022036,363354003,Malignant tumor of cervix,
N0000022036,363415003,Malignant tumor of biliary tract,
N0000022036,363443007,Malignant tumor of ovary,
N0000022036,363449006,Malignant tumor of testis,
N0000022036,371973000,Malignant neoplasm of uterus,
N0000022036,372140005,Carcinoma of gallbladder,
N0000022036,372142002,Carcinoma of pancreas,
N0000022036,399326009,Malignant neoplasm of urinary bladder,
N0000022036,402878003,Germ cell tumor,
N0000022036,424952003,Sarcoma of soft tissue,
N0000022036,443487006,Mantle cell lymphoma,
N0000022046,4855003,Retinopathy due to diabetes mellitus,
N0000022046,13644009,Hypercholesterolemia,
N0000022046,26367008,INCOMPLETE,
N0000022046,39823006,Generalized atherosclerosis,
N0000022046,44054006,Type 2 diabetes mellitus,
N0000022046,48447003,Chronic heart failure,
N0000022046,49601007,Disorder of cardiovascular system,
N0000022046,266257000,Transient cerebral ischemia,
N0000022046,302870006,Hypertriglyceridemia,
N0000022046,370992007,Dyslipidemia,
N0000022046,371893007,Restenotic lesion of coronary artery,
N0000022046,426161002,Chemically induced hyperlipidemia,
N0000022046,443502000,Coronary atherosclerosis,
N0000022047,8229003,Vasomotor rhinitis,
N0000022047,367498001,Seasonal allergic rhinitis,
N0000022047,446096008,Perennial allergic rhinitis,
N0000022047,473460002,Allergic conjunctivitis,
N0000022057,367498001,Seasonal allergic rhinitis,
N0000022081,31054009,Ureteric stone,
N0000022081,31822004,Urethritis,
N0000022081,266569009,Benign prostatic hyperplasia,
N0000022081,307541003,Lower urinary tract symptoms,
N0000022081,398064005,Neurogenic urinary bladder,
N0000022081,416991005,Obstruction of urinary bladder outlet,
N0000022085,2776000,Delirium,
N0000022085,58214004,Schizophrenia,
N0000022085,191736004,Obsessive-compulsive disorder,
N0000022085,370143000,Major depressive disorder,
N0000022101,8990000,Percutaneous transluminal angioplasty of peripheral artery,
N0000022101,65198009,Arterial thrombosis,
N0000022101,394659003,Acute coronary syndrome,
N0000022101,400047006,Peripheral vascular disease,
N0000022101,401303003,Acute ST segment elevation myocardial infarction,
N0000022101,401314000,Acute non-ST segment elevation myocardial infarction,
N0000022101,414024009,Disorder of coronary artery,
N0000022101,429673002,Arteriosclerosis of coronary artery bypass graft,
N0000022101,9611000119107,Symptomatic carotid artery stenosis,
N0000022115,11399002,Pulmonary arterial hypertension,
N0000022115,46372006,Female sexual arousal disorder,
N0000022115,70995007,Pulmonary hypertension,
N0000022115,233815004,Persistent pulmonary hypertension of the newborn,
N0000022115,397803000,INCOMPLETE,
N0000022115,425528008,INCOMPLETE,
N0000022122,24079001,Atopic dermatitis,
N0000022122,31387002,Exercise-induced asthma,
N0000022122,78275009,Obstructive sleep apnea syndrome,
N0000022122,126485001,Urticaria,
N0000022122,195967001,Asthma,
N0000022122,367498001,Seasonal allergic rhinitis,
N0000022122,407674008,Aspirin-induced asthma,
N0000022122,446096008,Perennial allergic rhinitis,
N0000022136,20165001,Hyperphosphatemia,
N0000022289,596004,Premenstrual dysphoric disorder,
N0000022289,17155009,Trichotillomania,
N0000022289,21897009,Generalized anxiety disorder,
N0000022289,170951000,INCOMPLETE,
N0000022289,191736004,Obsessive-compulsive disorder,
N0000022289,370143000,Major depressive disorder,
N0000022289,371631005,Panic disorder,
N0000022300,8009008,Nocturnal enuresis,
N0000022300,406506008,Attention deficit hyperactivity disorder,
N0000023107,2177002,Postherpetic neuralgia,
N0000023107,29753000,Focal onset epileptic seizure,
N0000023107,95417003,Primary fibromyalgia syndrome,
N0000023107,247398009,Neuropathic pain,
N0000023107,424736006,Diabetic peripheral neuropathy,
N0000145804,12579009,Familial Mediterranean fever,
N0000145804,14760008,Constipation,
N0000145804,17602002,Amyloidosis,
N0000145804,60782007,INCOMPLETE,
N0000145804,310701003,Behcet's syndrome,
N0000145804,426965005,Aphthous ulcer of mouth,
N0000145810,54200006,INCOMPLETE,
N0000145810,72641008,Sedation,
N0000145810,230456007,Status epilepticus,
N0000145810,361150008,INCOMPLETE,
N0000145890,11999007,Inactive tuberculosis,
N0000145890,111812000,Atypical mycobacterial infection,
N0000145890,427099000,Active tuberculosis,
N0000145894,22253000,Pain,
N0000145894,49727002,Cough,
N0000145898,22253000,Pain,
N0000145898,386661006,Fever,
N0000145898,396275006,Osteoarthritis,
N0000145909,19242006,Pulmonary edema,
N0000145909,24496007,Hemorrhoidectomy,
N0000145909,30037006,Anal fissure,
N0000145909,42343007,Congestive heart failure,
N0000145909,45067001,Spastic disorder of smooth muscle segment of esophagus,
N0000145909,70995007,Pulmonary hypertension,
N0000145909,109894007,Retained placenta,
N0000145909,194828000,Angina pectoris,
N0000145909,266599000,Dysmenorrhea,
N0000145909,398254007,Pre-eclampsia,
N0000145909,414545008,Ischemic heart disease,
N0000145909,5501000119106,Postoperative hypertension,
N0000145914,41652007,Pain in eye,
N0000145914,82423001,Chronic pain,
N0000145914,182686001,Endotracheal respiratory assistance,
N0000145914,267036007,Dyspnea,
N0000145918,3238004,Pericarditis,
N0000145918,3723001,Arthritis,
N0000145918,11101003,Percutaneous transluminal coronary angioplasty,
N0000145918,22253000,Pain,
N0000145918,25064002,Headache,
N0000145918,37796009,Migraine,
N0000145918,49436004,Atrial fibrillation,
N0000145918,49601007,Disorder of cardiovascular system,
N0000145918,55464009,Systemic lupus erythematosus,
N0000145918,64586002,Carotid artery stenosis,
N0000145918,66951008,Carotid endarterectomy,
N0000145918,75053002,Acute febrile mucocutaneous lymph node syndrome,
N0000145918,196075003,Pleurisy,
N0000145918,232717009,Coronary artery bypass graft,
N0000145918,233819005,Stable angina,
N0000145918,233970002,Coronary artery stenosis,
N0000145918,234185004,Prosthetic cardiac valve thrombosis,
N0000145918,234194005,Vascular graft thrombosis,
N0000145918,239177006,Post-episiotomy pain,
N0000145918,266257000,Transient cerebral ischemia,
N0000145918,363510005,Malignant tumor of large intestine,
N0000145918,371039008,Thromboembolic disorder,
N0000145918,371806006,Progressive angina,
N0000145918,372109003,Disorder of joint of spine,
N0000145918,386661006,Fever,
N0000145918,396275006,Osteoarthritis,
N0000145918,399957001,Peripheral arterial occlusive disease,
N0000145918,401303003,Acute ST segment elevation myocardial infarction,
N0000145918,401314000,Acute non-ST segment elevation myocardial infarction,
N0000145918,414024009,Disorder of coronary artery,
N0000145918,415070008,Percutaneous coronary intervention,
N0000145918,422504002,Ischemic stroke,
N0000145918,429098002,Thromboembolism of vein,
N0000145918,439127006,Thrombosis,
N0000145980,4776004,Lichen planus,
N0000145980,23685000,Rheumatic heart disease,
N0000145980,33659008,Keloid scar,
N0000145980,35852003,Ganglion of aponeurosis,
N0000145980,43363007,Posterior uveitis,
N0000145980,48440001,Articular gout,
N0000145980,50043002,Disorder of respiratory system,
N0000145980,52254009,Nephrotic syndrome,
N0000145980,53891004,Lichen simplex chronicus,
N0000145980,55342001,Neoplastic disease,
N0000145980,55464009,Systemic lupus erythematosus,
N0000145980,56391002,Necrobiosis lipoidica diabeticorum,
N0000145980,58437007,Tuberculosis of meninges,
N0000145980,61582004,Allergic rhinitis,
N0000145980,65508009,Granuloma annulare,
N0000145980,67801009,Tenosynovitis,
N0000145980,68225006,Alopecia areata,
N0000145980,69896004,Rheumatoid arthritis,
N0000145980,72284000,Transfusion reaction due to serum protein reaction,
N0000145980,73583000,Epicondylitis,
N0000145980,95320005,Disorder of skin,
N0000145980,109297005,Acute bursitis,
N0000145980,118940003,Disorder of nervous system,
N0000145980,119292006,Disorder of gastrointestinal tract,
N0000145980,128473001,Uveitis,
N0000145980,182782007,INCOMPLETE,
N0000145980,192929006,Exacerbation of multiple sclerosis,
N0000145980,195967001,Asthma,
N0000145980,200938002,Discoid lupus erythematosus,
N0000145980,200965009,Plaque psoriasis,
N0000145980,237785004,Hypoadrenalism,
N0000145980,240867002,Invasive trichinosis,
N0000145980,362969004,Disorder of endocrine system,
N0000145980,363179006,Inflammatory disorder of musculoskeletal system,
N0000145980,371409005,Disorder of eye region,
N0000145980,386584007,Adrenal cortical hypofunction,
N0000145980,396275006,Osteoarthritis,
N0000145980,400130008,Temporal arteritis,
N0000145980,416098002,Allergy to drug,
N0000145980,431231008,Acute rhinosinusitis,
N0000145980,473011001,Allergic condition,
N0000145980,1071000119107,Oral lesion,
N0000145989,16041008,Female hypogonadism syndrome,
N0000145989,19155002,INCOMPLETE,
N0000145989,71315007,Dyspareunia,
N0000145989,87991007,Gender identity disorder,
N0000145989,102447009,Postmenopausal osteoporosis,
N0000145989,110368006,Decreased estrogen level,
N0000145989,170951000,INCOMPLETE,
N0000145989,254900004,Carcinoma of prostate,
N0000145989,297147009,Atrophy of vagina,
N0000145994,4855003,Retinopathy due to diabetes mellitus,
N0000145994,40541001,Acute pulmonary edema,
N0000145994,123799005,Renovascular hypertension,
N0000145994,236503001,Acute scleroderma renal crisis,
N0000145994,266261006,Raynaud's phenomenon,
N0000145994,401303003,Acute ST segment elevation myocardial infarction,
N0000145994,429589006,Left ventricular cardiac dysfunction,
N0000145994,771000119108,Chronic kidney disease due to type 2 diabetes mellitus,
N0000145995,8009008,Nocturnal enuresis,
N0000145995,15771004,INCOMPLETE,
N0000145995,19943007,Cirrhosis of liver,
N0000145995,52254009,Nephrotic syndrome,
N0000145995,64859006,Osteoporosis,
N0000145995,67569000,Bronchopulmonary dysplasia of newborn,
N0000145995,71938000,Hypercalciuria,
N0000145995,90688005,Chronic renal failure,
N0000145995,267038008,Edema,
N0000146102,3110003,Acute otitis media,
N0000146102,4834000,Typhoid fever,
N0000146102,11840006,Traveler's diarrhea,
N0000146102,28867007,Granuloma inguinale,
N0000146102,29227009,Nocardiosis,
N0000146102,36188001,Shigellosis,
N0000146102,63650001,Cholera,
N0000146102,68566005,Urinary tract infectious disease,
N0000146102,69896004,Rheumatoid arthritis,
N0000146102,111812000,Atypical mycobacterial infection,
N0000146102,192701001,Toxoplasma encephalitis,
N0000146102,240372001,Cyclosporiasis,
N0000146102,240415007,Skin and soft tissue atypical mycobacterial infection,
N0000146102,266143009,Chancroid,
N0000146102,302231008,Salmonella infection,
N0000146102,396234004,Infective arthritis,
N0000146102,415125002,Pneumocystosis pneumonia,
N0000146102,425748003,Acute exacerbation of chronic bronchitis,
N0000146102,428111003,Melioidosis,
N0000146102,428783003,Osteomyelitis caused by Staphylococcus aureus,
N0000146103,3110003,Acute otitis media,
N0000146103,68566005,Urinary tract infectious disease,
N0000146103,128984004,Bacterial infection of eye,
N0000146103,415125002,Pneumocystosis pneumonia,
N0000146109,4241002,Listeriosis,
N0000146109,4639008,Glanders,
N0000146109,8098009,Sexually transmitted infectious disease,
N0000146109,15628003,Gonorrhea,
N0000146109,19265001,Tularemia,
N0000146109,23502006,Lyme disease,
N0000146109,28867007,Granuloma inguinale,
N0000146109,31070006,Epididymitis,
N0000146109,36188001,Shigellosis,
N0000146109,41565005,Periodontitis,
N0000146109,58750007,Plague,
N0000146109,61462000,Malaria,
N0000146109,63650001,Cholera,
N0000146109,68566005,Urinary tract infectious disease,
N0000146109,70647001,Yaws,
N0000146109,71057007,Infection caused by Escherichia coli,
N0000146109,75702008,Brucellosis,
N0000146109,76272004,Syphilis,
N0000146109,77377001,Leptospirosis,
N0000146109,84619001,Nongonococcal urethritis,
N0000146109,88415009,Mycobacteriosis,
N0000146109,105629000,Chlamydial infection,
N0000146109,111835002,Infection by Campylobacter fetus,
N0000146109,128945009,Infection caused by Enterobacteriaceae,
N0000146109,186772009,Rocky Mountain spotted fever,
N0000146109,186932009,INCOMPLETE,
N0000146109,186946009,Lymphogranuloma venereum,
N0000146109,198130006,Female pelvic inflammatory disease,
N0000146109,213121005,Prosthetic joint infection,
N0000146109,233850007,Infective endocarditis,
N0000146109,235764000,Infective proctitis,
N0000146109,240613006,Typhus group rickettsial disease,
N0000146109,240675006,INCOMPLETE,
N0000146109,266109000,INCOMPLETE,
N0000146109,266123003,Bartonellosis,
N0000146109,266143009,Chancroid,
N0000146109,275498002,Respiratory tract infection,
N0000146109,398909004,Rosacea,
N0000146109,402938009,Staphylococcal infection of skin,
N0000146109,409498004,Anthrax,
N0000146109,420079008,INCOMPLETE,
N0000146109,427307004,Nongonococcal cervicitis,
N0000146109,427481004,INCOMPLETE,
N0000146109,429586004,INCOMPLETE,
N0000146109,431231008,Acute rhinosinusitis,
N0000146109,446156008,Infection caused by multidrug resistant Acinetobacter,
N0000146151,32914008,Restless legs,
N0000146151,49049000,Parkinson's disease,
N0000146152,568005,Tic disorder,
N0000146152,13746004,Bipolar disorder,
N0000146152,25501002,Social phobia,
N0000146152,32914008,Restless legs,
N0000146152,80495009,Sleep walking disorder,
N0000146152,91175000,Seizure,
N0000146152,371631005,Panic disorder,
N0000146152,415238003,REM sleep behavior disorder,
N0000146152,609558009,Essential tremor,
N0000146155,267038008,Edema,
N0000146166,23986001,Glaucoma,
N0000146166,93870000,Malignant neoplasm of liver,
N0000146166,93934004,Primary malignant neoplasm of ovary,
N0000146166,109843000,Hepatoblastoma,
N0000146166,187692001,Malignant tumor of nasopharynx,
N0000146166,201101007,Actinic keratosis,
N0000146166,232016005,Proliferative vitreoretinopathy,
N0000146166,232245002,Granular myringitis,
N0000146166,254656002,Squamous cell carcinoma in situ of skin,
N0000146166,254662007,Keratoacanthoma,
N0000146166,254935002,Intracranial tumor,
N0000146166,255046005,INCOMPLETE,
N0000146166,255056009,Malignant tumor of head and neck,
N0000146166,266113007,Genital warts,
N0000146166,274134003,Leukoplakia,
N0000146166,310504009,Primary malignant neoplasm of unknown site,
N0000146166,363349007,Malignant tumor of stomach,
N0000146166,363354003,Malignant tumor of cervix,
N0000146166,363358000,Malignant tumor of lung,
N0000146166,363367000,Malignant tumor of vulva,
N0000146166,363402007,Malignant tumor of esophagus,
N0000146166,363415003,Malignant tumor of biliary tract,
N0000146166,363434003,Malignant tumor of thymus,
N0000146166,363445000,Malignant tumor of vagina,
N0000146166,363490009,Malignant tumor of anus,
N0000146166,363510005,Malignant tumor of large intestine,
N0000146166,371964008,Malignant neoplasm of adrenal cortex,
N0000146166,372106005,Carcinoma of penis,
N0000146166,372130007,Malignant neoplasm of skin,
N0000146166,372142002,Carcinoma of pancreas,
N0000146166,398768004,Queyrat's erythroplasia,
N0000146166,399326009,Malignant neoplasm of urinary bladder,
N0000146166,403914000,Superficial basal cell carcinoma,
N0000146183,19242006,Pulmonary edema,
N0000146183,22298006,Myocardial infarction,
N0000146183,30037006,Anal fissure,
N0000146183,42343007,Congestive heart failure,
N0000146183,45067001,Spastic disorder of smooth muscle segment of esophagus,
N0000146183,70995007,Pulmonary hypertension,
N0000146183,74474003,Gastrointestinal hemorrhage,
N0000146183,194828000,Angina pectoris,
N0000146183,233823002,Silent myocardial ischemia,
N0000146183,233845001,Cardiac syndrome X,
N0000146183,371806006,Progressive angina,
N0000146183,132721000119104,Hypertensive emergency,
N0000146188,19242006,Pulmonary edema,
N0000146188,52756005,INCOMPLETE,
N0000146188,67569000,Bronchopulmonary dysplasia of newborn,
N0000146188,267038008,Edema,
N0000146188,389026000,Ascites,
N0000146188,311000119101,Non-allergic rhinitis,
N0000146194,11466000,Cesarean section,
N0000146194,22399000,Puerperal endometritis,
N0000146194,33910007,Postoperative infection,
N0000146194,34000006,Crohn's disease,
N0000146194,41565005,Periodontitis,
N0000146194,48252005,Infection by Entamoeba,
N0000146194,50563003,Seborrheic dermatitis,
N0000146194,56335008,Infection by Trichomonas,
N0000146194,58265007,Giardiasis,
N0000146194,75119003,Amebic liver abscess,
N0000146194,84619001,Nongonococcal urethritis,
N0000146194,95883001,Bacterial meningitis,
N0000146194,111253001,Infection of bone,
N0000146194,111922007,Infection by Fasciola,
N0000146194,198130006,Female pelvic inflammatory disease,
N0000146194,200933006,Ocular rosacea,
N0000146194,237266003,INCOMPLETE,
N0000146194,307759003,Helicobacter pylori gastrointestinal tract infection,
N0000146194,363162000,Infectious disorder of joint,
N0000146194,387754006,Amebic dysentery,
N0000146194,398909004,Rosacea,
N0000146194,419760006,Bacterial vaginosis,
N0000146194,423451008,Infection caused by anaerobic bacteria,
N0000146194,423590009,Clostridium difficile colitis,
N0000146205,24199005,Feeling agitated,
N0000146205,72641008,Sedation,
N0000146205,91175000,Seizure,
N0000146205,191480000,Alcohol withdrawal,
N0000146205,230456007,Status epilepticus,
N0000146205,236084000,INCOMPLETE,
N0000146205,247917007,Catatonia,
N0000146207,568005,Tic disorder,
N0000146207,5158005,Gilles de la Tourette's syndrome,
N0000146207,37796009,Migraine,
N0000146207,38205001,Diarrhea due to diabetes mellitus,
N0000146207,56294008,Nicotine dependence,
N0000146207,66347000,Impulse control disorder,
N0000146207,76948002,Severe pain,
N0000146207,87132004,Opioid withdrawal,
N0000146207,224962007,Hot sweats,
N0000146207,406506008,Attention deficit hyperactivity disorder,
N0000146207,430909002,Conduct disorder,
N0000146211,54200006,INCOMPLETE,
N0000146211,91175000,Seizure,
N0000146211,127295002,Traumatic brain injury,
N0000146214,16932000,Nausea and vomiting,
N0000146214,58214004,Schizophrenia,
N0000146214,65958008,Hiccoughs,
N0000146214,69322001,Psychotic disorder,
N0000146214,234422006,Acute intermittent porphyria,
N0000146214,609586001,Combativeness,
N0000146226,31681005,Trigeminal neuralgia,
N0000146226,32914008,Restless legs,
N0000146226,43763009,Glossopharyngeal neuralgia,
N0000146226,47295007,Psychomotor agitation,
N0000146226,54200006,INCOMPLETE,
N0000146226,68569003,Manic bipolar I disorder,
N0000146226,69322001,Psychotic disorder,
N0000146226,84757009,Epilepsy,
N0000146226,128613002,Seizure disorder,
N0000146226,191480000,Alcohol withdrawal,
N0000146226,271700006,Chorea,
N0000146226,279058003,Neurogenic pain,
N0000146226,407675009,Focal onset impaired awareness epileptic seizure,
N0000146229,2032001,Cerebral edema,
N0000146229,2897005,Immune thrombocytopenia,
N0000146229,3238004,Pericarditis,
N0000146229,4740000,Herpes zoster,
N0000146229,5888003,Keratitis,
N0000146229,8247009,Berylliosis,
N0000146229,9631008,Ankylosing spondylitis,
N0000146229,10706006,Tuberculosis of central nervous system,
N0000146229,13645005,Chronic obstructive pulmonary disease,
N0000146229,16553002,Choroiditis,
N0000146229,17602002,Amyloidosis,
N0000146229,24079001,Atopic dermatitis,
N0000146229,30880003,Trabeculectomy ab externo,
N0000146229,31384009,Polymyositis,
N0000146229,31541009,Sarcoidosis,
N0000146229,31996006,Vasculitis,
N0000146229,32273002,INCOMPLETE,
N0000146229,33339001,INCOMPLETE,
N0000146229,34000006,Crohn's disease,
N0000146229,37981002,Allergic bronchopulmonary aspergillosis,
N0000146229,38727009,Subacute thyroiditis,
N0000146229,39579001,Anaphylaxis,
N0000146229,40275004,Contact dermatitis,
N0000146229,46627006,Chorioretinitis,
N0000146229,47709007,Humoral hypercalcemia of malignancy,
N0000146229,48440001,Articular gout,
N0000146229,50043002,Disorder of respiratory system,
N0000146229,50563003,Seborrheic dermatitis,
N0000146229,50715003,Pure red cell aplasia,
N0000146229,52254009,Nephrotic syndrome,
N0000146229,55342001,Neoplastic disease,
N0000146229,55464009,Systemic lupus erythematosus,
N0000146229,61582004,Allergic rhinitis,
N0000146229,64766004,Ulcerative colitis,CAT2
N0000146229,65172003,Pemphigus,
N0000146229,65323003,Polymyalgia rheumatica,
N0000146229,65363002,Otitis media,
N0000146229,66760008,Optic neuritis,
N0000146229,67801009,Tenosynovitis,
N0000146229,69896004,Rheumatoid arthritis,
N0000146229,72275000,Relapsing polychondritis,
N0000146229,73442001,Stevens-Johnson syndrome,
N0000146229,73583000,Epicondylitis,
N0000146229,77956009,Steinert myotonic dystrophy syndrome,
N0000146229,77971008,Iridocyclitis,
N0000146229,81573002,Collagen disease,
N0000146229,82271004,Injury of head,
N0000146229,83901003,Sjögren's syndrome,
N0000146229,84017003,Bursitis,
N0000146229,87513003,Herpes zoster ophthalmicus,
N0000146229,90441002,Chronic nonsuppurative thyroiditis,
N0000146229,90739004,Thyrotoxicosis,
N0000146229,91514001,Corneal ulcer,
N0000146229,91637004,Myasthenia gravis,
N0000146229,91855006,Acute leukemia,
N0000146229,93143009,Leukemia,
N0000146229,95320005,Disorder of skin,
N0000146229,109989006,Multiple myeloma,
