Gene_Claim_Name	Importance_Score	NCBI_Gene_ID
SLC25A2	0.000087	83884
MAGT1	0.000087	84061
MAGT1	0.000087	
ATRIP	0.000086	84126
TSSK1B	0.000086	83942
LMAN2L	0.000086	81562
SNX25	0.000086	83891
CMAHP	0.000086	8418
CMAHP	0.000086	
ACER3	0.000086	55331
ACER3	0.000086	
NLRC5	0.000086	84166
SYDE2	0.000086	84144
ANKRD20A1	0.000086	84210
ANKRD20A1	0.000086	
TOMM40L	0.000086	84134
KRTAP3-2	0.000085	83897
IFNK	0.000085	56832
KRTAP10-11	0.000085	386678
ANXA9	0.000085	8416
LTBP4	0.000085	8425
LTBP4	0.000084	
LTBP4	0.000084	
AS3MT	0.000084	57412
UQCC2	0.000084	84300
BFSP2	0.000084	8419
BFSP2	0.000084	
SLC47A1	0.000084	55244
B4GALT2	0.000083	8704
TBX20	0.000083	57057
QNG1	0.000083	84267
BMAL2	0.000083	56938
RHOG	0.000083	391
RHOG	0.000082	
CCND2	0.000082	894
CCND2	0.000082	
CCND2	0.000082	
CCND2	0.000081	
TNFSF8	0.000081	944
FER	0.000081	2241
IL9R	0.000080	3581
SSR3	0.000080	6747
MRPL45	0.000080	84311
ST20-AS1	0.000080	283687
SLC41A2	0.000080	84102
RAP1GAP2	0.000079	23108
SLC66A2	0.000079	80148
PRB4	0.000079	5545
FGFBP1	0.000079	9982
ZNF397	0.000079	84307
ZNF397	0.000079	
H3-4	0.000079	8290
H3-4	0.000079	
ARHGAP17	0.000078	55114
ARHGAP17	0.000078	
GGNBP2	0.000078	79893
ZNF649	0.000077	65251
ZNF649	0.000077	
ZNF649	0.000077	
ZNF649	0.000077	
ZNF649	0.000077	
KEAP1	0.000076	9817
CCRL2	0.000076	9034
DERL3	0.000076	91319
TDRD3	0.000076	81550
NICN1	0.000076	84276
NICN1	0.000076	
NICN1	0.000076	
GOLGA6L1	0.000075	283767
GABRA6	0.000075	2559
CAPS	0.000075	828
RPL3P6	0.000075	643220
TMEM41A	0.000075	90407
TBX3	0.000075	6926
TRMT1L	0.000075	81627
SNX9	0.000075	51429
SNX9	0.000074	
DCSTAMP	0.000074	81501
METAP1	0.000074	23173
METAP1	0.000074	
METAP1	0.000074	
CXCL8	0.000074	3576
IQCG	0.000074	84223
DENND2B	0.000073	6764
SIGLEC12	0.000073	89858
QTRT1	0.000073	81890
PCP4L1	0.000073	654790
SMIM15	0.000072	643155
RETN	0.000072	56729
PSMA2	0.000072	5683
BHMT2	0.000072	23743
SFMBT1	0.000072	51460
SFMBT1	0.000072	
VPS33A	0.000072	65082
ARMCX7P	0.000071	653354
ARMCX7P	0.000071	
RARS2	0.000071	57038
VBP1	0.000071	7411
NR1H2	0.000070	7376
ACTL6B	0.000070	51412
TMPPE	0.000070	643853
VGF	0.000070	7425
VGF	0.000070	
MRPL18	0.000070	29074
BIN2	0.000070	51411
PRSS2	0.000069	5645
PRSS2	0.000069	
PRSS2	0.000069	
PRSS2	0.000069	
CBFA2T3	0.000069	863
RNPC3	0.000069	55599
LIPN	0.000069	643418
LIPN	0.000069	
GAL3ST2	0.000069	64090
JUP	0.000069	3728
JUP	0.000068	
PDE4C	0.000068	5143
DDX41	0.000068	51428
SLC7A4	0.000068	6545
ARHGAP35	0.000068	2909
NXF2	0.000068	56001
UTP4	0.000068	84916
H2AZ2P1	0.000068	654500
ANKMY2	0.000068	57037
ANKMY2	0.000068	
UHRF1	0.000068	29128
CCDC175	0.000068	729665
AMOTL2	0.000067	51421
SFTPA1	0.000067	653509
SFTPA1	0.000067	
SFTPA1	0.000067	
OR6C65	0.000067	403282
STARD7-AS1	0.000067	285033
POLK	0.000067	51426
POLK	0.000067	
FMN2	0.000066	56776
GSDMC	0.000066	56169
GNL3L	0.000066	54552
TMCO6	0.000066	55374
RPL21P93	0.000066	653665
RPL21P93	0.000066	
SIM2	0.000066	6493
SIM2	0.000066	
MCM9	0.000066	254394
PRKAG2	0.000066	51422
OR10A3	0.000066	26496
MINDY3	0.000065	80013
MINDY3	0.000065	
PDE4B	0.000065	5142
PDE4B	0.000065	
DGUOK	0.000064	1716
ABHD18	0.000064	80167
ABHD18	0.000064	
FBXL20	0.000064	84961
ANKRD17	0.000064	26057
FUT8	0.000064	2530
SUCO	0.000064	51430
SUCO	0.000063	
RASL11A	0.000063	387496
FBXL21P	0.000063	26223
FBXL21P	0.000063	
FBXL21P	0.000063	
FBXL21P	0.000063	
CENPK	0.000063	64105
CENPK	0.000063	
DENND10	0.000063	404636
MTX1LP	0.000063	4581
CC2D1A	0.000063	54862
ZNF507	0.000063	22847
HEPH	0.000063	9843
PYY	0.000062	5697
ANXA3	0.000062	306
ANXA3	0.000062	
ANXA3	0.000062	
OLMALINC	0.000062	90271
SLC2A4RG	0.000062	56731
SLC2A4RG	0.000062	
CYB5B	0.000061	80777
IER3IP1	0.000061	51124
IER3IP1	0.000061	
APEX2	0.000060	27301
APEX2	0.000060	
VTN	0.000060	7448
EML2	0.000060	24139
BOD1L1	0.000059	259282
PSMG2	0.000059	56984
KRTAP4-11	0.000059	653240
EIF3F	0.000059	8665
VRTN	0.000059	55237
XK	0.000059	7504
PRR7	0.000059	80758
ZYG11A	0.000059	440590
RBM18	0.000059	92400
NR5A1	0.000058	2516
PSMB9	0.000058	5698
CEP192	0.000058	55125
WNT16	0.000058	51384
FGF1	0.000058	2246
RBM19	0.000058	9904
RAD18	0.000058	56852
RAD18	0.000057	
NOL4	0.000057	8715
USP32	0.000057	84669
USP32	0.000057	
USP32	0.000057	
PRDM10	0.000057	56980
NIT2	0.000056	56954
C9orf40	0.000056	55071
C9orf40	0.000056	
RAB3GAP1	0.000056	22930
NXPE4	0.000056	54827
RGMA	0.000056	56963
SUMF2	0.000056	25870
TMOD3	0.000056	29766
OR2T8	0.000055	343172
OR2T8	0.000055	
CXCR2	0.000055	3579
IK	0.000055	3550
IK	0.000055	
VDAC3	0.000055	7419
AIM2	0.000055	9447
ALG1	0.000055	56052
GABARAPL1	0.000055	23710
CMC2	0.000055	56942
DNAH10OS	0.000055	642797
DNAH10OS	0.000055	
MAP3K7CL	0.000055	56911
VWF	0.000055	7450
VWF	0.000054	
VWF	0.000054	
VWF	0.000054	
VWF	0.000054	
PRKAG1	0.000054	5571
SMARCA2	0.000054	6595
ERVW-1	0.000054	30816
ARIH1	0.000054	25820
SELENOI	0.000054	85465
LRP1	0.000054	4035
PRB3	0.000054	5544
INE1	0.000054	8552
ITIH1	0.000054	3697
NCF1	0.000054	653361
CA10	0.000054	56934
PDCD6P1	0.000054	728613
BRICD5	0.000053	283870
BRICD5	0.000053	
NELFA	0.000053	7469
KIR2DP1	0.000053	554300
KIR2DP1	0.000053	
AQP12B	0.000053	653437
AQP12B	0.000053	
EXOC3L1	0.000053	283849
NDUFAF4	0.000053	29078
NDUFAF4	0.000052	
HSPA12A	0.000052	259217
FZD9	0.000052	8326
FZD9	0.000052	
SULT4A1	0.000052	25830
JCHAIN	0.000052	3512
OGFOD1	0.000052	55239
OGFOD1	0.000052	
PSMC6	0.000052	5706
RBM34	0.000052	23029
DNAJA4	0.000052	55466
TCF15	0.000052	6939
FAM86B1	0.000052	85002
FAM86B1	0.000051	
KRT13	0.000051	3860
RASSF2	0.000051	9770
RASSF2	0.000051	
PALLD	0.000051	23022
PALLD	0.000051	
PALLD	0.000051	
CBL	0.000051	867
PATL1	0.000051	219988
PATL1	0.000051	
PATL1	0.000051	
STX11	0.000051	8676
PSG2	0.000050	5670
RCVRN	0.000050	5957
IL11RA	0.000050	3590
IL11RA	0.000050	
IL11RA	0.000050	
ORMDL2	0.000050	29095
ORMDL2	0.000050	
KLF16	0.000050	83855
KLF16	0.000050	
PPM1H	0.000049	57460
TCAP	0.000049	8557
KIF23	0.000049	9493
MTTP	0.000049	4547
PRDM9	0.000049	56979
OR12D2	0.000049	26529
UNK	0.000049	85451
NBEAL1	0.000049	65065
HLTF	0.000049	6596
HLTF	0.000049	
HLTF	0.000049	
HLTF	0.000049	
MMP25	0.000049	64386
SLCO4C1	0.000049	353189
SLC4A8	0.000049	9498
KRT14	0.000049	3861
BARHL1	0.000049	56751
PCSK4	0.000049	54760
PPP1R3F	0.000049	89801
UBA7	0.000049	7318
PRDM11	0.000048	56981
PRDM11	0.000048	
AP1AR	0.000048	55435
ADAMTS12	0.000048	81792
ZNF331	0.000048	55422
LGR4	0.000048	55366
TSEN54	0.000048	283989
PCNX2	0.000048	80003
PPIB	0.000048	5479
PRKCZ	0.000048	5590
OTUD7B	0.000047	56957
PCDHA5	0.000047	56143
YJU2	0.000047	55702
FLVCR1	0.000047	28982
MYO16	0.000047	23026
MYO16	0.000047	
MAGEL2	0.000047	54551
HEPN1	0.000047	641654
SLC25A18	0.000047	83733
ITIH2	0.000047	3698
ITIH2	0.000047	
PSG9	0.000047	5678
BAAT	0.000047	570
POGLUT1	0.000047	56983
POGLUT1	0.000047	
POGLUT1	0.000047	
TRPM8	0.000047	79054
TRPM8	0.000047	
MAFB	0.000047	9935
GON4L	0.000047	54856
GON4L	0.000046	
CRLF2	0.000046	64109
FSTL5	0.000046	56884
MYOCD	0.000046	93649
MYOCD	0.000046	
MYOCD	0.000046	
MYOCD	0.000046	
CHMP4A	0.000046	29082
SLC25A12	0.000046	8604
HPD	0.000046	3242
BLM	0.000046	641
BLM	0.000046	
BLM	0.000046	
BLM	0.000046	
BLM	0.000046	
GDPD2	0.000046	54857
MRTFA	0.000046	57591
MRTFA	0.000046	
CLDN20	0.000046	49861
CLDN20	0.000046	
NCALD	0.000046	83988
NCALD	0.000046	
PPP2R1B	0.000045	5519
COQ8A	0.000045	56997
COQ8A	0.000045	
OR6K3	0.000045	391114
ETNK2	0.000045	55224
NOSIP	0.000045	51070
XPNPEP2	0.000045	7512
ARHGAP11B	0.000045	89839
NCDN	0.000045	23154
HIP1R	0.000045	9026
FAM83E	0.000045	54854
PSG11	0.000045	5680
UMPS	0.000045	7372
UMPS	0.000045	
VDR	0.000045	7421
RAB3GAP2	0.000045	25782
POLR1D	0.000045	51082
IL17RD	0.000045	54756
IL17RD	0.000045	
IL17RD	0.000045	
COMMD10	0.000045	51397
FZD1	0.000045	8321
FZD1	0.000045	
MAPK11	0.000045	5600
RIOX1	0.000045	79697
RIOX1	0.000044	
ARRDC1-AS1	0.000044	85026
ARRDC1-AS1	0.000044	
BEX4	0.000044	56271
IL10	0.000044	3586
IL10	0.000044	
IL10	0.000044	
IL10	0.000044	
CALHM5	0.000044	254228
ILF2	0.000044	3608
ILF2	0.000044	
ILF2	0.000044	
MEPE	0.000044	56955
MEPE	0.000044	
PRMT6	0.000044	55170
CCK	0.000044	885
PCBP4	0.000044	57060
ACE2	0.000044	59272
KDM1A	0.000044	23028
KDM1A	0.000044	
RGS1	0.000044	5996
DUTP1	0.000044	548637
RTF1	0.000044	23168
EIF3L	0.000043	51386
EIF3L	0.000043	
EIF3L	0.000043	
ZNF589	0.000043	51385
ZSCAN5B	0.000043	342933
CFLAR	0.000043	8837
IPO4	0.000043	79711
KIAA1217	0.000043	56243
MSLNL	0.000043	401827
GAA	0.000043	2548
GAA	0.000043	
GAA	0.000043	
FIG4	0.000043	9896
FIG4	0.000043	
SMARCB1	0.000043	6598
BCKDHA	0.000043	593
PEA15	0.000043	8682
LINC01720	0.000043	440704
UGGT1	0.000043	56886
CCER2	0.000043	643669
SH3KBP1	0.000043	30011
PTH2R	0.000042	5746
PTH2R	0.000042	
MMP3	0.000042	4314
CFC1	0.000042	55997
POM121L9P	0.000042	29774
ZNF532	0.000042	55205
GSK3A	0.000042	2931
RALB	0.000042	5899
GSN-AS1	0.000042	57000
JADE3	0.000042	9767
MIR124-3	0.000042	406909
AGXT2	0.000042	64902
PRPF38A	0.000042	84950
GPR137	0.000042	56834
GPR137	0.000042	
ZNF136	0.000042	7695
BPIFC	0.000042	254240
PLEKHA2	0.000042	59339
PLEKHA2	0.000042	
LTBP2	0.000042	4053
OR2T33	0.000042	391195
FTSJ1	0.000041	24140
FTSJ1	0.000041	
TELO2	0.000041	9894
RAB8B	0.000041	51762
RAB8B	0.000041	
MED23	0.000041	9439
USP25	0.000041	29761
CDCA7L	0.000041	55536
PSMG3	0.000041	84262
IL2RG	0.000041	3561
VSIG8	0.000041	391123
SBNO1	0.000041	55206
SBNO1	0.000041	
LAMA3	0.000041	3909
PGA3	0.000041	643834
MAGED1	0.000041	9500
MAGED1	0.000041	
UBE2D3	0.000041	7323
RFTN1	0.000041	23180
H1-1	0.000041	3024
SLC22A10	0.000041	387775
SLC22A10	0.000041	
AXIN1	0.000041	8312
OLA1	0.000041	29789
OLA1	0.000041	
KMT2E	0.000040	55904
OR7A10	0.000040	390892
CDC42P6	0.000040	643751
RGPD2	0.000040	729857
LRRC37A4P	0.000040	55073
LRRC37A4P	0.000040	
SIRT2	0.000040	22933
DNAJC5B	0.000040	85479
FEZF2	0.000040	55079
MON2	0.000040	23041
PXK	0.000040	54899
ZNF487	0.000040	642819
SH3BGRL3	0.000040	83442
SH3BGRL3	0.000040	
SFRP2	0.000040	6423
SFRP2	0.000040	
SFRP2	0.000040	
SFRP2	0.000040	
FGD1	0.000040	2245
ZNF442	0.000040	79973
ZNF442	0.000040	
GARS1	0.000040	2617
PPP1R3C	0.000040	5507
IL12A	0.000040	3592
IL12A	0.000040	
IL12A	0.000040	
KLHL4	0.000039	56062
WAPL	0.000039	23063
SMARCAD1	0.000039	56916
CDC14A	0.000039	8556
IGHV3-53	0.000039	28420
ENY2	0.000039	56943
ENY2	0.000039	
REEP1	0.000039	65055
REEP1	0.000039	
REEP1	0.000039	
TUBE1	0.000039	51175
MSANTD2	0.000039	79684
HEMK1	0.000039	51409
BBS7	0.000039	55212
PRKY	0.000039	5616
WDR93	0.000039	56964
DHX38	0.000039	9785
GTF2IRD1	0.000039	9569
GTF2IRD1	0.000039	
CASK	0.000039	8573
CASK	0.000039	
CMAS	0.000039	55907
CMAS	0.000039	
NAT8	0.000039	9027
NAT8	0.000039	
AQP1	0.000039	358
EXD1	0.000039	161829
DAZAP2	0.000039	9802
PRMT2	0.000039	3275
IL12B	0.000039	3593
CCN6	0.000039	8838
PLGLA	0.000039	285189
SRSF3	0.000039	6428
SRSF3	0.000039	
ABCB5	0.000039	340273
DEPDC5	0.000039	9681
C6orf120	0.000039	387263
CBR3	0.000039	874
CBR3	0.000039	
CBR3	0.000039	
MARCKSL1	0.000039	65108
LRIG1	0.000038	26018
C11orf96	0.000038	387763
ZNF429	0.000038	353088
ZNF429	0.000038	
RARA	0.000038	5914
CDC14B	0.000038	8555
EPN2	0.000038	22905
EPN2	0.000038	
MADCAM1	0.000038	8174
LINC00482	0.000038	284185
YPEL4	0.000038	219539
LUZP4	0.000038	51213
MAP3K12	0.000038	7786
MAP3K12	0.000038	
MRPS35	0.000038	60488
MRPS35	0.000038	
EIF3I	0.000038	8668
RNF25	0.000038	64320
RAD51D	0.000038	5892
KPNA5	0.000038	3841
FAM20C	0.000038	56975
VPS52	0.000038	6293
VPS52	0.000038	
SEMA6D	0.000038	80031
ATG4D	0.000038	84971
ATG4D	0.000038	
ART1	0.000038	417
ART1	0.000038	
JMJD7-PLA2G4B	0.000038	8681
PLEKHH3	0.000038	79990
PLEKHH3	0.000038	
RAP1B	0.000037	5908
RAP1B	0.000037	
ANP32A	0.000037	8125
ANP32A	0.000037	
FEM1C	0.000037	56929
DNAH11	0.000037	8701
OR7E2P	0.000037	8587
FIBIN	0.000037	387758
RNF5	0.000037	6048
RNF5	0.000037	
CCN5	0.000037	8839
JMJD4	0.000037	65094
JMJD4	0.000037	
KRT18	0.000037	3875
SGMS1	0.000037	259230
NOMO2	0.000037	283820
RLF	0.000037	6018
SREBF1	0.000037	6720
SREBF1	0.000037	
CEP44	0.000037	80817
THAP3	0.000037	90326
INKA2	0.000037	55924
LANCL2	0.000037	55915
PPP2R2D	0.000037	55844
APOBR	0.000037	55911
APOBR	0.000037	
UBL5	0.000037	59286
TENT4B	0.000037	64282
TMX4	0.000037	56255
TMX4	0.000037	
PCDHA13	0.000037	56136
RPRM	0.000037	56475
RPRM	0.000037	
ZNF629	0.000037	23361
ATG10	0.000037	83734
UBE2B	0.000037	7320
UBE2B	0.000037	
UBE2B	0.000037	
ENOX1	0.000037	55068
PTRHD1	0.000037	391356
C11orf97	0.000037	643037
DUSP16	0.000036	80824
CHCHD10	0.000036	400916
CHCHD10	0.000036	
ITGAX	0.000036	3687
ITGAX	0.000036	
IGHV1-2	0.000036	28474
FAM170A	0.000036	340069
KDR	0.000036	3791
RAMACL	0.000036	353267
CRYBG2	0.000036	55057
NUDT11	0.000036	55190
TRO	0.000036	7216
SIN3B	0.000036	23309
FAIM2	0.000036	23017
FAIM2	0.000036	
FAIM2	0.000036	
EEF1AKMT2	0.000036	399818
ARHGEF28	0.000036	64283
ARHGEF28	0.000036	
PSG7	0.000036	5676
PSG7	0.000036	
PSG7	0.000036	
TMCC1	0.000036	23023
ERBIN	0.000036	55914
LRRC55	0.000036	219527
LRRC55	0.000036	
LRRC55	0.000036	
TMEM45A	0.000036	55076
NSFL1C	0.000036	55968
NSFL1C	0.000036	
SRSF9	0.000036	8683
BCAP29	0.000035	55973
CLEC9A	0.000035	283420
CLEC9A	0.000035	
SLC1A3	0.000035	6507
YIPF6	0.000035	286451
CTTNBP2NL	0.000035	55917
CTTNBP2NL	0.000035	
BBS9	0.000035	27241
TSPAN33	0.000035	340348
TSPAN33	0.000035	
MRPL34	0.000035	64981
JPH1	0.000035	56704
JPH1	0.000035	
ZMAT5	0.000035	55954
SLC25A40	0.000035	55972
VDAC2	0.000035	7417
GALNTL6	0.000035	442117
EFHC2	0.000035	80258
EFHC2	0.000035	
NDRG2	0.000035	57447
NDRG2	0.000035	
MRPL41	0.000035	64975
MRPL41	0.000035	
MRPL41	0.000035	
MRPL41	0.000035	
MRPL41	0.000035	
REG1B	0.000035	5968
RPL6P10	0.000035	642828
MIR302A	0.000035	407028
TAS2R39	0.000035	259285
FGL1	0.000035	2267
ZNF138	0.000035	7697
RAB17	0.000035	64284
NUP43	0.000035	348995
FAM30A	0.000035	9834
SCG2	0.000035	7857
NEK8	0.000035	284086
NEK8	0.000035	
NEK8	0.000035	
SIAH1	0.000035	6477
SIAH1	0.000035	
INPP5B	0.000034	3633
P2RY4	0.000034	5030
P2RY4	0.000034	
BCL2	0.000034	596
RTN4RL2	0.000034	349667
RTN4RL2	0.000034	
CCNL1	0.000034	57018
RPS6KA4	0.000034	8986
CACNG8	0.000034	59283
BCKDHB	0.000034	594
USO1	0.000034	8615
USO1	0.000034	
USO1	0.000034	
ZNF142	0.000034	7701
PDE8B	0.000034	8622
SGCA	0.000034	6442
SGCA	0.000034	
ANKRD36	0.000034	375248
HAUS6	0.000034	54801
BDH1	0.000034	622
IRF2	0.000034	3660
OXR1	0.000034	55074
NME8	0.000034	51314
NME8	0.000034	
NME8	0.000034	
PAK3	0.000034	5063
PAK3	0.000034	
KIN	0.000034	22944
KIN	0.000034	
RPS17P5	0.000034	442216
KCTD4	0.000034	386618
PLD2	0.000034	5338
TMEM250	0.000034	90120
ACVR1B	0.000034	91
OR2H1	0.000034	26716
MIR770	0.000034	768222
IL10RA	0.000034	3587
CCNG1	0.000034	900
TRPV6	0.000034	55503
TRPV6	0.000034	
PIK3R4	0.000034	30849
ZNF320	0.000034	162967
UACA	0.000034	55075
AGFG2	0.000034	3268
AGFG2	0.000034	
HCN1	0.000034	348980
GPR89A	0.000034	653519
DIP2C-AS1	0.000034	414235
FCGR2C	0.000033	9103
FCGR2C	0.000033	
FCGR2C	0.000033	
KCTD1	0.000033	284252
FCHSD2	0.000033	9873
LZTR1	0.000033	8216
BOLA2B	0.000033	654483
TLE3	0.000033	7090
TLE3	0.000033	
TLE3	0.000033	
TLE3	0.000033	
MYO5C	0.000033	55930
MIR25	0.000033	407014
OR5AR1	0.000033	219493
